No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre-Planning ,Stage 3 Pre-Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,Site Start,Practical Completion
596,SHIP CONSTRUCTION,Wicklow,"O'Byrne Road, Bray",1,*N/A,,Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
597,SHIP CONSTRUCTION,Wicklow,"FCA Hall, Wicklow Town",8,*N/A,,Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
598,SHIP CONSTRUCTION,Wicklow,"Kilmantain Place, Bray",4,*N/A,,Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
599,SHIP CONSTRUCTION,Wicklow,"Ard Na Mara, Kilcoole",2,*N/A,,Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
600,SHIP CONSTRUCTION,Wicklow,"Druids Brook, Kilcoole",2,*N/A,,Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
601,SHIP CONSTRUCTION,Wicklow,"Old Library, Arklow",7,*N/A,,Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
602,SHIP CONSTRUCTION,Wicklow,"Kilbride Lane, Bray (Murphy's Lands)",42,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
603,SHIP CONSTRUCTION,Wicklow,"Sugarloaf View, Kilmacanogue",20,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
604,SHIP CONSTRUCTION,Wicklow,"Brewery Bends, Rathdrum (Phase 2)",20,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
605,CAS CONSTRUCTION,Wicklow ,"Lathaleer, Baltinglass",5,KARE,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
606,SHIP CONSTRUCTION,Wicklow ,"Carrig Eden,1 Marine Road, Greystones",30,*N/A,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
607,SHIP CONSTRUCTION,Wicklow ,"Farrankelly, Greystones (Phase 2)",15,*N/A,Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
