No.,Funding Programme,Local Authority,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
,CAS CONSTRUCTION,Louth,"5 Slieveroe Cresent, Dundalk",1,Cluid Housing Association,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Louth,"Castletowncooley, Riverstown, Dundalk",1,Túath Housing Association,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Louth,"Barrack Street, Dundalk",8,Simon Community : Dundalk Simon,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Louth,"Saltown, Dundalk",7,North ? East Housing Association Ltd,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,CAS CONSTRUCTION,Louth,"McArdle Green (Moneymore), Drogheda",1,North ? East Housing Association Ltd,,,,,Q1-2018,
,CAS CONSTRUCTION,Louth,"Tierney Street, Ardee",7,Oaklee Housing Trust,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,CAS CONSTRUCTION,Louth,"Tredagh View, Drogheda",1,Respond,,,,,,Q1-2017
,CAS CONSTRUCTION,Louth,"36 Strand, Clogherhead",4,St. John of God Housing Association Ltd,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Louth,Coulter Park,6,Túath Housing Association,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,CALF CONSTRUCTION TURNKEY,Louth,"Castleguard, Ardee",29,Túath Housing Association,,,,,,Q1-2018
,CALF CONSTRUCTION TURNKEY,Louth,"Caslteguard, Ardee",73,Túath Housing Association,,,,,Q2-2017,
,CALF CONSTRUCTION TURNKEY,Louth,"Rathmullen Road, Drogheda",54,North ? East Housing Association Ltd,,,,,Q4-2017,
,CALF CONSTRUCTION TURNKEY,Louth,"Rathmullen Road, Drogheda",51,Túath Housing Association,,,,,Q4-2017,
,CALF CONSTRUCTION TURNKEY,Louth,"Avourwen Meadows, Drogheda",50,Oaklee Housing Trust,,,,Scheme approved for CALF funding Q1-2017,,
,CALF CONSTRUCTION TURNKEY,Louth,"Liscorrie, Bog Lane, Drogheda ",41,Túath Housing Association,,,,,,Q4-2017
,CALF CONSTRUCTION TURNKEY,Louth,"Mount Hamilton, Dundalk Phase 2",31,Cluid Housing Association,,,,,Q4-2016,
,CALF CONSTRUCTION TURNKEY,Louth,"Mount Hamilton, Dundalk Phase 1",12,Cluid Housing Association,,,,,,Q4-2017
,CALF CONSTRUCTION TURNKEY,Louth,Coulter Place Armagh Road Dundalk Phase 2,12,Cluid Housing Association,,,,,,Q3-2017
,CALF CONSTRUCTION TURNKEY,Louth,Coulter Place Armagh Road Dundalk Phase 1,10,Cluid Housing Association,,,,,,Q1-2017
,CALF CONSTRUCTION TURNKEY,Louth,"Castle Court, Castlebellingham - Phase 2",10,Cluid Housing Association,,,,,,Q1-2017
,CALF CONSTRUCTION TURNKEY,Louth,Aston Village,8,Respond!,,,,,Q4-2017,
,CALF CONSTRUCTION TURNKEY,Louth,"Castle Court, Castlebellingham - Phase 1",4,Cluid Housing Association,,,,,,Q1-2017
,CALF CONSTRUCTION TURNKEY,Louth,"Knock Shee, Old Golf Links road, Blackrock, Co. Louth",3,Cluid Housing Association,,,,,,Q4-2017
,CALF CONSTRUCTION,Louth,"Scarlett Street, Drogheda",15,North  East Housing Association Ltd,,,,,Q1-2018,
,CALF CONSTRUCTION,Louth,"Clos na Manach, Carlingford",10,Túath Housing Association,,,,,Q2-2017,
,CALF CONSTRUCTION,Louth,Rath na Gloinne,3,Cluid Housing Association,,,,,,Q3-2016
,CALF CONSTRUCTION,Louth,"Bishops Court, Dundalk",2,Túath Housing Association,,,,Scheme approved for CALF funding Q2-2017,,
,CALF CONSTRUCTION,Louth,"2 Slieve Row Crescent, Dundalk",1,Cluid Housing Association,,,,,,Q2-2016
,SHIP CONSTRUCTION TURNKEY,Mayo,"Slinaunroe, Clogher (SRD)",1,*N/A,,,,,,Q2-2017
,SHIP CONSTRUCTION RAPID,Mayo,"Kilkelly Road, Knock (Phase 3)",4,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,Mayo,"Market Street, Swinford",2,*N/A,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Mayo,"Knocknageeha, Newport",1,*N/A,,,,"Stage 4 approved in Q1-2018, the scheme is now fully approved.",,
,SHIP CONSTRUCTION,Mayo,Kilmeena (Phase 2),4,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,Mayo,"Knockmore, Ballina",8,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Mayo,"Radharc an tSaillin, Binghamstown, Belmullet (Phase 2)",4,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Mayo,"Sliabh Rua, Foxford - Phase 3",10,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Mayo,"Woodlands, Balla (Phase 3)",4,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Mayo,"Abbeyquarter, Ballyhaunis",18,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Mayo,"Tonragee West, Achill (Phase 2)",4,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Mayo,"Sli na Roba, Friarsquarter, Ballinrobe",16,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Mayo,Single Rural Dwellings,7,*N/A,"Stage 1 approved in Q3-2015, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Mayo,"Marian Crescent, Ballina",4,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION,Mayo,"Tubberhill, Westport (Phase 3)",21,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION,Mayo,"7 St. Patrick's Tce., Westport",1,*N/A,,,,,,Q2-2017
,SHIP CONSTRUCTION,Mayo,"Parke, Castlebar",8,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Mayo,Killavally,8,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Mayo,"Lios na Circa, Saleen, Castlebar",22,*N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Mayo,"Kilkelly Road, Swinford",27,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Mayo,"Bothar Dubh, Claremorris",12,*N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Mayo,"Barhauve, Rossport (SRD)",1,*N/A,,,,,Q4-2016,
,SHIP CONSTRUCTION,Mayo,"Glaggaun, Ballycroy (SRD)",1,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Mayo,"Glengad, Pollatomish (SRD)",1,*N/A,,,,,Q4-2016,
,SHIP CONSTRUCTION,Mayo,"Gorthbrack, Inver (SRD)",1,*N/A,,,,,,Q1-2018
,CAS CONSTRUCTION,Mayo,"Admiral Browne Road, Foxford (Phase 2)",4,Society of Saint Vincent de Paul,,,,,,Q1-2018
,CAS CONSTRUCTION,Mayo,"Killosheehan, Ballinrobe",6,Society of Saint Vincent de Paul,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
,CAS CONSTRUCTION,Mayo,"Admiral Browne Road, Foxford (Phase 1)",8,Society of Saint Vincent de Paul,,,,,,Q3-2016
,CAS CONSTRUCTION,Mayo,"Logmore, Belmullet",7,Irish Wheelchair Association Ltd,,,,,,Q2-2017
,CALF CONSTRUCTION TURNKEY,Mayo,Ballina area,11,Cluid Housing Association,,,,Scheme given revised CALF approval Q1 2018,,
,CALF CONSTRUCTION TURNKEY,Mayo,"Glenlara, Westport, Co Mayo ",10,Co-operative Housing Ireland,,,,Scheme approved for CALF Funding Q4-2017,,
,SHIP CONSTRUCTION RAPID,Meath,Kilmainhamwood,4,*N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION RAPID,Meath,Cortown,10,*N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION RAPID,Meath,Oldcastle,15,*N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Meath,"Proudstown Road, Navan",4,*N/A,,,,"Stage 4 approved in Q2-2017, the scheme is now fully approved.",,
,SHIP CONSTRUCTION,Meath,Bettystown (Phase 2),15,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Meath,Ratoath,17,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Meath,"Riverside, Kells",40,*N/A,,,,"Stage 4 approved in Q4-2017, the scheme is now being tendered.",,
,SHIP CONSTRUCTION,Meath,"Cherry Court, Summerhill",19,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Meath,"Connaught Grove, Athboy",32,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,Meath,Nobber,19,*N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Meath,Carlanstown,13,*N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Meath,Donore,20,*N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Meath,Dunshaughlin,25,*N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Meath,Bettystown (Phase 1),16,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION,Meath,Farganstown,42,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Meath,"Blackcastle, Slane Road, Navan",17,Túath Housing Association,,,,,Q4-2017,
,CALF CONSTRUCTION TURNKEY,Meath,"Dunville, Athlumney, Co. Meath phase 1",10,Túath Housing Association,,,,,,Q1-2018
,CALF CONSTRUCTION TURNKEY,Meath,"Dunville, Athlumney, Co. Meath Phase 2 *",8,Túath Housing Association,,,,,,Q1-2018
,CALF CONSTRUCTION TURNKEY,Meath,"Dunville, Athlumney, Co. Meath Phase 3",6,Túath Housing Association,,,,,Q3-2017,
,CALF CONSTRUCTION TURNKEY,Meath,"Dunville, Athlumney, Co. Meath Phase 4 *",40,Túath Housing Association,,,,,Q3-2017,
,CALF CONSTRUCTION TURNKEY,Meath,"Fitzherbert Wood, Slane Rd., Navan, Co. Meath",44,Túath Housing Association,,,,Scheme approved for CALF Funding Q3-2017,,
,CALF CONSTRUCTION TURNKEY,Meath,"Dun Eimear, Bettytown",30,Túath Housing Association,,,,,Q3-2017,
,CALF CONSTRUCTION TURNKEY,Meath,"Seabury Lawns, Mornington",25,Cluid Housing Association,,,,,,Q3-2017
,CALF CONSTRUCTION TURNKEY,Meath,"Tubberclaire, Navan",23,Cluid Housing Association,,,,,,Q2-2016
,CALF CONSTRUCTION TURNKEY,Meath,"Mill Lane, Flower Hill, Navan",20,Oaklee Housing Trust,,,,,,Q1-2016
,CALF CONSTRUCTION TURNKEY,Meath,Ashbourne area - Phase 4,20,Cluid Housing Association,,,,,,Q4-2017
,CALF CONSTRUCTION TURNKEY,Meath,Ashbourne area - Phase 3,18,Cluid Housing Association,,,,,,Q4-2017
,CALF CONSTRUCTION TURNKEY,Meath,Ashbourne area - Phase 2,18,Cluid Housing Association,,,,,,Q4-2017
,CALF CONSTRUCTION TURNKEY,Meath,Ashbourne area - Phase 1,11,Cluid Housing Association,,,,,,Q1-2017
,CALF CONSTRUCTION TURNKEY,Meath,"Blackcastle, Slane Road, Navan",9,Túath Housing Association,,,,,Q3-2017,
,CALF CONSTRUCTION TURNKEY,Meath,"Churchfields, Ashbourne *",8,Túath Housing Association,,,,,,Q2-2017
,CALF CONSTRUCTION TURNKEY,Meath,"Grangehall, Dunshaughlin",7,Túath Housing Association,,,,,Q1-2017,
,CALF CONSTRUCTION TURNKEY,Meath,"Seabury Lawns, Mornington",6,Cluid Housing Association,,,,,,Q1-2018
,CALF CONSTRUCTION TURNKEY,Meath,"Royal Oaks, Enfield *",4,Cluid Housing Association,,,,,,Q2-2017
,CALF CONSTRUCTION TURNKEY,Meath,"27 Ardmore Rise, Bettystown",1,North ? East Housing Association Ltd,,,,,Q1-2017,
,CALF CONSTRUCTION TURNKEY,Meath,"Station Road, Dunboyne *",24,Respond!,,,,Scheme approved for CALF funding Q1-2018,,
,CALF CONSTRUCTION TURNKEY,Meath,"Ceamach Close, Donacarney, Co. Meath *",7,Cluid Housing Association,,,,Scheme approved for CALF funding Q1-2018,,
,CALF CONSTRUCTION TURNKEY,Meath,"Ceamach Close, Donacarney, Co. Meath ",9,Cluid Housing Association,,,,Scheme approved for CALF funding Q1-2018,,
,CALF CONSTRUCTION TURNKEY,Meath,"Commons Road, Navan, Co. Meath",12,Cluid Housing Association,,,,Scheme approved for CALF funding Q1-2018,,
,CALF CONSTRUCTION,Meath,"Millrace Court, Emmet Street, Trim, Co Meath ",11,North  East Housing Association Ltd,,,,Scheme approved for CALF funding Q4-2017 ,,
,CALF CONSTRUCTION,Meath,"Cherryvalley, Raghmoylan, Co. Meath",9,Cluid Housing Association,,,,,,Q4-2017
,CALF CONSTRUCTION,Meath,"Kellets Grove, Dunshauglin, Co Meath *",6,Túath Housing Association,,,,,,Q1-2018
,SHIP CONSTRUCTION TURNKEY,Monaghan,"Drumbear Wood, Monaghan Town",12,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Monaghan,"Knockroe Glen, Monaghan Town (Phase 3)",6,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Monaghan,"Knockroe Glen, Monaghan Town (Phase 2)",8,*N/A,,,,,,Q2-2017
,SHIP CONSTRUCTION TURNKEY,Monaghan,"Knockroe Glen, Monaghan  Town (Phase 1)",8,*N/A,,,,,,Q2-2017
,SHIP CONSTRUCTION TURNKEY,Monaghan,"Killycard, Bree, Castleblaney",4,*N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION TURNKEY,Monaghan,"The Meadows, Smithborough",5,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Monaghan,"Maple Grove, Smithborough",12,*N/A,,,,"Stage 4 approved in Q3-2017, the scheme is now fully approved.",,
,SHIP CONSTRUCTION,Monaghan,"Bree, Castleblayney",8,*N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Monaghan,"Latlorcan, Monaghan Town",43,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Monaghan,"Davy's & Adjacent Porperty, Fermanagh St., Clones",3,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Monaghan,"Boyle Sports Site, Fermanagh St., Clones",3,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Monaghan,"82 & 83 Fermanagh St., Clones",3,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Monaghan,"An Bonnan Bui & Flower Shop, Fermanagh St., Clones",6,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Monaghan,"2a & 3 Analore St., Clones",3,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Monaghan,"Abbey Gatehouse, Analore St., Clones",3,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Monaghan,"Drumillard, Castleblayney (Phase 2)",2,Castleblayney Care Housing Association Ltd,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,CAS CONSTRUCTION,Monaghan,"Liseggerton, Clones",16,Oaklee Housing Trust,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Monaghan,"Convent Lands, Carrickmacross",7,Respond,,,,,,Q2-2017
,CALF CONSTRUCTION TURNKEY,Monaghan,"Kingscourt Road, Carrickmacross, Co. Monaghan",50,Respond!,,,,,Q3-2017,
,CALF CONSTRUCTION TURNKEY,Monaghan,"Magheross, Carrickmacross *",33,Túath Housing Association,,,,,Q2-2017,
,CALF CONSTRUCTION,Monaghan,"Liseggerton Road, Clones",6,Oaklee Housing Trust,,,,,Q2-2017,
,SHIP CONSTRUCTION TURNKEY,Offaly,"McGregol, Birr",12,*N/A,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
,SHIP CONSTRUCTION TURNKEY,Offaly,"Mill Race, Ferbane",5,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Offaly,"Cluain na Spideoga, Cloghan",6,*N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION TURNKEY,Offaly,"Coolagarry, Walsh Island, ",4,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Offaly,"Chancery Lane, Tullamore",18,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Offaly,"Circular Road, Daingean",7,*N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Offaly,"Kylebeg, Banagher (Phase 2)",18,*N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Offaly,"Blundell Wood, Edenderry",33,*N/A,,,,,Q4-2017,
,CAS CONSTRUCTION,Offaly,Mountbolus,4,Mid Offaly Housing Association Ltd,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
,CAS CONSTRUCTION,Offaly,"Killane Drive, Edenderry",2,Túath Housing Association,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Offaly,"Scurragh, Birr",6,Cluid Housing Association,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,CAS CONSTRUCTION,Offaly,"Clonminch, Tullamore",20,Oaklee Housing Trust,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,CALF CONSTRUCTION,Offaly,"Kearney's Field, Tullamore",53,Oaklee Housing Trust,,,,Scheme approved for CALF funding Q1-2017,,
,CALF CONSTRUCTION,Offaly,"Killane Drive, Edenderry",25,Túath Housing Association,,,,Scheme approved for CALF funding Q2-2017,,
,SHIP CONSTRUCTION TURNKEY,Roscommon,"Monksland, Athlone",10,*N/A,,,,,Q1-2017,
,SHIP CONSTRUCTION TURNKEY,Roscommon,"Station Road, Termon, Boyle",10,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION TURNKEY,Roscommon,"Silveroe Meadows, Boyle",12,*N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Roscommon,Cloonfad,2,*N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Roscommon,"Greenfields, Blackstick Road, Roscommon Town",6,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION,Roscommon,"River Oaks, Ballaghaderreen",10,*N/A,,,,,,Q4-2017
,CALF CONSTRUCTION TURNKEY,Roscommon,"Monksfield, Bealnamulla, Athlone",40,Cluid Housing Association,,,,,Q3-2017,
,CALF CONSTRUCTION TURNKEY,Roscommon,"Monksfield Park, Tuam Road, Athlone",13,Cluid Housing Association,,,,,Q1-2016,
,CALF CONSTRUCTION TURNKEY,Roscommon,"River Oaks, Kilcolman, Ballaghaderreen",12,Respond!,,,,,,Q1-2018
,SHIP CONSTRUCTION,Sligo,Colloney,15,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Sligo,Knappagh Road,28,*N/A,,"Stage 2 approved in Q3-2016, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Sligo,"Caltragh, Culleens",1,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Sligo,"Carrowbunnaun, Strandhill",20,*N/A,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Sligo,Fr. Flanagan Terrace (2),14,*N/A,,,,,Q1-2017,
,SHIP CONSTRUCTION,Sligo,"Daghloonagh, Keash - SRD",1,*N/A,,,,,,Q4-2016
,SHIP CONSTRUCTION,Sligo,Rosses Point,14,*N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Sligo,Fr. Flanagan Terrace (1),8,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Sligo,"Connolly Park, Tubbercurry",10,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Sligo,"Cuan Iosa, Ballymote",8,Society of Saint Vincent de Paul,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION RAPID,South Dublin,"Killininny Road, Firhouse (Old Mill, Old Bawn)",24,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION RAPID,South Dublin,"St Cuthbert's, Clondalkin",63,*N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION RAPID,South Dublin,"St Aidan's,  Brookfield, Tallaght (Phase 1)",47,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION RAPID,South Dublin,"St. Aidan's Brookfield, Tallaght (Phase 2)",38,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,South Dublin,"Belgard Road, Tallaght",3,*N/A,,,,,,Q1-2016
,SHIP CONSTRUCTION,South Dublin,"Killinarden, Tallaght",27,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,South Dublin,"Letts Field, Neilstown, Clondalkin",37,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,South Dublin,"Ballyboden,  Rathfarnham",40,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,South Dublin,"Dromcarra, Tallaght",14,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION,South Dublin,Fortunestown (MacUilliam),28,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION,South Dublin,"Mayfield Estate, Clondalkin",17,*N/A,,,,,Q1-2017,
,SHIP CONSTRUCTION,South Dublin,"St Marks Green, Clondalkin",11,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION,South Dublin,Balgaddy F,50,*N/A,"Stage 1 approved in Q1-2015, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,South Dublin,St Finians,2,*N/A,,,,,,Q3-2016
,SHIP CONSTRUCTION,South Dublin,"Suncroft, Tallaght",10,*N/A,,,,,,Q4-2016
,PUBLIC PRIVATE PARTNERSHIP (Bundle 1),South Dublin,Corkage Grange (part of Kilcarbery),109,*N/A,,,Q1 2018,,,
,CAS CONSTRUCTION,South Dublin,"Collinstown Grove, Clondalkin",4,Túath Housing Association,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
,CAS CONSTRUCTION,South Dublin,"Old Nangor Road, Clondalkin",10,Simon Community : Dublin Simon,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
,CALF CONSTRUCTION TURNKEY,South Dublin,"Elder Heath, Kiltipper Road, Tallaght, Dublin 24 phase 1 *",18,Cluid Housing Association,,,,,,Q1-2018
,CALF CONSTRUCTION TURNKEY,South Dublin,"Elder Heath, Kiltipper Road, Tallaght, Dublin 24 phase 2",10,Cluid Housing Association,,,,Scheme approved for CALF Funding Q4-2017,,
,CALF CONSTRUCTION TURNKEY,South Dublin,"Milford Manor, Clondalkin - Phase 1",25,Cluid Housing Association,,,,,,Q1-2017
,CALF CONSTRUCTION TURNKEY,South Dublin,"Milford Manor, Clondalkin",25,Cluid Housing Association,,,,,Q1-2017,
,CALF CONSTRUCTION TURNKEY,South Dublin,"New Bancroft, Tallaght, Dublin 24*",16,Cluid Housing Association,,,,,,Q4-2017
,CALF CONSTRUCTION TURNKEY,South Dublin,"Milford Manor, Clondalkin - Final Phase ",15,Cluid Housing Association,,,,,,Q3-2017
,CALF CONSTRUCTION TURNKEY,South Dublin,"Dodderbrook, Oldcourt Road, Ballycullen, Dublin 24 *",14,Cluid Housing Association,,,,,,Q1-2018
,CALF CONSTRUCTION TURNKEY,South Dublin,"Broadfield Grove, Rathcoole-phase 1 *",10,Oaklee Housing Trust,,,,,,Q3-2017
,CALF CONSTRUCTION TURNKEY,South Dublin,"Old Nangor Road, Clondalkin, Dublin 22",7,Clanmil Housing Association,,,,Scheme approved for CALF Funding Q4-2017,,
,CALF CONSTRUCTION TURNKEY,South Dublin,Scholarstown Wood (Houses) *Phase 2 ,5,Circle Voluntary Housing Association,,,,,Q3-2017,
,CALF CONSTRUCTION TURNKEY,South Dublin,"Broadfield Grove, Rathcoole - final phase *",4,Oaklee Housing Trust,,,,,,Q3-2017
,CALF CONSTRUCTION TURNKEY,South Dublin,"Moyglas Glade, Lucan, Co Dublin*",1,Respond!,,,,,,Q2-2017
,CALF CONSTRUCTION TURNKEY,South Dublin,"Palmerstown Way, Clondalkin *",6,Circle Voluntary Housing Association,,,,Scheme approved for CALF funding Q1-2018,,
,CALF CONSTRUCTION,South Dublin,"Westpark, Garters Lane, Saggert, Co Dublin ",84,Cluid Housing Association,,,,Scheme approved for CALF Funding Q4-2017,,
,CALF CONSTRUCTION,South Dublin,Scholarstown Wood (Apts),6,Circle Voluntary Housing Association,,,,,Q3-2017,
,CALF CONSTRUCTION,South Dublin,"Station Road, Clondalkin",5,Respond!,,,,,,Q3-2017
,CALF CONSTRUCTION,South Dublin,Scholarstown Wood (Houses) * Phase 1,3,Circle Voluntary Housing Association,,,,,,Q4-2017
,CALF CONSTRUCTION,South Dublin,"Tullyhall, Lucan - Phase 1 *",2,Túath Housing Association,,,,,,Q3-2017
,CALF CONSTRUCTION,South Dublin,"Tullyhall, Lucan - Final Phase*",2,Túath Housing Association,,,,,Q2-2017,
,CALF CONSTRUCTION,South Dublin,"1 Hollyville Terrace, Palmerstown, Dublin",2,Cluid Housing Association,,,,Scheme approved for CALF Funding Q4-2017,,
,SHIP CONSTRUCTION,Tipperary,"Ard na Greine, Clonmel",2,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Tipperary,Knockanrawley,28,*N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Tipperary,"Mill Road, Thurles",27,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Tipperary,"Mulkear View, Newport",9,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Tipperary,"Treacy Park, Carrick on Suir",1,*N/A,,,"Stage 3 approved in Q1-2017, the scheme is now being tendered.",,,
